"","HR","upper","lower","p value","model"
"AADAC",0.89613448041709,0.973047683257824,0.825300774884663,0.00904623514780109,1
"ABI3",0.869429387415985,0.955167497823113,0.791387334080458,0.00354720520489152,1
"ACP2",0.893231137314596,0.967507737491723,0.824656830897078,0.00559762837303859,1
"ACPP",0.895770532007131,0.972828875546166,0.824816024875754,0.00894329321235566,1
"ADAM15",0.885606930167787,0.959731135404866,0.817207659341334,0.0030546244290202,1
"ADAMDEC1",0.89570053349202,0.97160119374715,0.82572916836769,0.0079503625380326,1
"ADCK2",0.873320327207296,0.945761005278412,0.806428251595064,0.000863641930345279,1
"ADCYAP1R1",0.877117816064218,0.954806263801863,0.805750540632097,0.00246168902974245,1
"ADPRHL2",0.866896781653429,0.955946781273399,0.786142120840661,0.00419632073134878,1
"ADRBK2",0.887848992493073,0.963643146579339,0.818016333400099,0.00442683776322229,1
"AFG3L2",0.884140307759311,0.957964951680425,0.81600488873157,0.00261668646686391,1
"AHCYL1",0.882453760385741,0.953638036283561,0.816583032125811,0.00158150002631498,1
"AIFM1",0.857810726620641,0.930835000496908,0.790515228061492,0.000233766063142354,1
"AIM1",0.855153406349296,0.927196606016358,0.78870796511296,0.000149668273063281,1
"AIM2",0.851610807245193,0.929000837577658,0.780667721363797,0.000295220961614286,1
"AKNA",0.881939813126689,0.969358466292259,0.802404746051322,0.00917810483999043,1
"AKR1A1",0.824013493376388,0.894835191406422,0.758796976009816,4.19919613264457e-06,1
"ALCAM",0.893626964449347,0.966197826284271,0.826506880751357,0.00475563529618263,1
"ALDH5A1",0.849544528068158,0.918953398042404,0.78537813419919,4.71569798232727e-05,1
"AMICA1",0.870760760371509,0.965741389082105,0.785121472864933,0.00879546368367024,1
"ANKRD17",0.867902331366334,0.936718231184596,0.804141983911783,0.000273528979422899,1
"ANKRD42",0.823307676082224,0.934960831795376,0.724988156128728,0.00273184735220074,1
"ANXA1",0.892371514706679,0.967007006224758,0.823496536357882,0.00545928204884064,1
"APOBEC3A",0.881986998841218,0.963048135021917,0.807748894199598,0.00512192844704396,1
"APOBEC3D",0.865739222709801,0.963342946834297,0.778024486711783,0.00816525970710296,1
"APOC1",0.894593215584086,0.969353343276236,0.825598866419771,0.0065268505918587,1
"APOL1",0.889748643397554,0.966134364983922,0.819402225114891,0.005439141434658,1
"APOL3",0.887757028377196,0.961053658976264,0.820050508181431,0.00326729611911251,1
"APOL6",0.818531812954953,0.931567702416588,0.719211633337313,0.00241327262964676,2
"ARAP1",0.890384376824534,0.965979875254551,0.820704818808261,0.00523110606409057,1
"ARF6",0.891029314524565,0.971871155647174,0.816912030703732,0.00921741080758128,1
"ARHGEF39",0.84658355827153,0.946634543765584,0.757107086209567,0.00347539593003927,1
"ARPC5L",0.826041346717581,0.90181356261882,0.756635667028007,1.97261375251362e-05,1
"ASB2",0.860016798722243,0.954361392483106,0.774998758237747,0.00451786001680824,1
"ASRGL1",0.872665147323653,0.94987229359743,0.801733521955076,0.00163861791327843,1
"ASS1",0.877531430018025,0.952738592089389,0.808260961677545,0.00184590347708974,1
"ATG3",0.884669252757325,0.956254084154996,0.818443235686457,0.00202380735275407,1
"ATP5H",0.891629932299722,0.971105016786985,0.818659076443834,0.0084630519490767,1
"ATP6V0B",0.874493844891788,0.949762794691797,0.805189979042909,0.00145513745269152,1
