"","HR","upper","lower","p value","model"
"ABHD13",1.20085334174103,1.33437656493695,1.08069100302188,0.000667599225404793,1
"ACKR3",1.12604161561776,1.23082776775022,1.03017640105791,0.00892693084455887,1
"ACTG2",1.14423861495711,1.237993949551,1.05758352731354,0.000798446318534264,1
"ACTR1A",1.11400911266327,1.2068305318732,1.0283269028424,0.00819236175121638,1
"ACTR5",1.11023630173758,1.20031526165513,1.02691741501001,0.00860660078804707,1
"ADAM12",1.12489559146273,1.21859951280495,1.03839701099144,0.00394002752126618,1
"ADAMTS2",1.11509271273446,1.20863102490463,1.0287935129678,0.00803318907115985,1
"ADAMTS5",1.11595141846047,1.20553643201188,1.03302358625994,0.00535871564604421,1
"AEBP1",1.13951360306531,1.23537867578226,1.05108763573944,0.00152997018170925,1
"AGTR1",1.11013943616999,1.19567377403602,1.03072392696195,0.00579703688651302,1
"AKAP12",1.18400992259063,1.28399418266217,1.09181140827794,4.4345464322369e-05,1
"AKT3",1.17957506971151,1.27765743366293,1.08902222804426,5.06542660737261e-05,1
"ALDOC",1.1523895452538,1.2460150846986,1.06579902628666,0.000372397131680301,1
"ALPK2",1.1670777803937,1.30866000365369,1.04081315367313,0.0081762787141315,1
"ANGPT1",1.15146575407623,1.25334765515879,1.05786561083274,0.00111253490667337,1
"ANGPTL2",1.16455995794339,1.2623831927602,1.07431713557576,0.000213998254681134,1
"ANKRD10",1.14396460575883,1.24253468207382,1.05321407773084,0.00142567329569241,1
"ANO10",1.12603671751603,1.22530525177439,1.03481045833935,0.00589105794045308,1
"ANTXR1",1.2176947838576,1.31881518522093,1.12432780821038,1.30442320362397e-06,1
"AP3B1",1.13442847435031,1.23045906223468,1.04589254768016,0.0023481623969906,1
"APBB2",1.10972792132702,1.20060244189475,1.02573176298833,0.00952482522277642,1
"APCDD1L",1.14280083890858,1.25132389585071,1.04368961684558,0.00392882429372657,1
"APP",1.14213211099075,1.24078395548056,1.05132384505325,0.00166633678343966,1
"ARHGAP19",1.12606649406274,1.22171001256954,1.03791058107462,0.00430944389438333,1
"ARHGAP28",1.13869298109664,1.23981329412178,1.04582013384298,0.00277115682386317,1
"ARHGAP36",1.15389899482599,1.27756493079913,1.0422036940444,0.00585551520309406,1
"ARHGEF10",1.13041405958671,1.22513179349816,1.04301916976838,0.00282728427354163,1
